"64","NGUMPUL - KARANG PATIHAN","52","34","14","0","1360","K","LU","Tidak"
"65","DENGOK - NONGKODONO","55.88","29.41","14.71","0","1360","P","LU","Tidak"
"66","NONGKODONO - KARANGAN","54.23","26.88","18.89","0","800","K","LU","Tidak"
"67","MENANG - JAMBON","46.91","39.76","13.33","0","1400","P","LU","Ya"
"68","BADEGAN - TULUNG","40.21","31.96","24.23","3.61","1400","P","LU","Tidak"
"69","SAMPUNG - PAHIJO","30.63","14.21","21.05","34.11","800","K","LU","Ya"
"70","SAMPUNG - SIDOREJO","39.22","19.61","41.18","0","1400","K","LU","Tidak"
"71","MLILIR - BAKALAN","100","0","0","0","840","P","LU","Ya"
"72","SEMANDING - SEKODOK","43.55","16.13","32.26","8.06","800","K","LU","Tidak"
"73","GONDOWIDO - TOYOMARTO","62.5","10.71","0","26.79","840","K","LU","Ya"
"74","BESUKI - NGADIROJO","39.22","6.54","16.34","37.91","840","P","LU","Tidak"
"75","TEMON - SURU","39.33","35.18","6.58","18.91","840","K","LU","Ya"
"76","JANTI -NGRUPIT","50.38","49.63","0","0","880","K","LU","Ya"
"77","TUMPAKPELEM - MANDING","42.26","16.39","16.39","24.59","1320","K","LU","Tidak"
"78","JURANG WULUH - PUDAK","50","50","0","0","1640","K","LU","Tidak"
"79","GANDU KEPUH - GELANG LOR","32.08","15.09","52.83","0","800","P","LU","Ya"
"80","TAMANSARI - KAWEDANAN","100","0","0","0","800","P","LU","Tidak"
"81","NGABAR - JABUNG","20.59","79.41","0","0","1320","P","LU","Tidak"
"82","BANGUNSARI - LEMBAH","33.33","66.67","0","0","840","K","LU","Ya"
"83","CEPOKO - TANGGARAN","24.39","14.63","36.59","24.39","800","K","LU","Tidak"
"84","PABRIK ES - KOTA LAMA","100","0","0","0","1640","P","JJS","Tidak"
"85","PURBOSUMAN - SIMAN","89.47","10.53","0","0","1560","K","LU","Tidak"
"86","RONOWIJAYAN - SINGOSAREN","50","0","50","0","760","K","LU","Tidak"
"87","JAMBON - SIDOWAYAH","46.68","21.13","32.39","0","400","K","LU","Tidak"
"88","LEMBAH - TULAR","34.47","38.87","26.67","0","920","K","LU","Tidak"
"89","SUKOSARI - TAMBAK EMAS","100","0","0","0","920","K","LU","Tidak"
"90","BALONG - NGUMPUL","67.74","32.26","0","0","1400","P","LU","Tidak"
"91","BLUMBANG - TUMPAK PELEM","50","16.67","33.33","0","360","P","LU","Tidak"
"92","TAMANSARI - BEDINGIN","17.31","28.85","34.62","19.23","1320","P","LU","Tidak"
"93","COPER - TEGAL SARI","81.82","18.18","0","0","800","K","LU","Tidak"
"94","JORESAN - JABUNG","75","25","0","0","1320","K","LU","Ya"
"95","KAPURAN - GELANG","100","0","0","0","1320","P","LU","Tidak"
"96","SRANDIL - CARANGREJO","100","0","0","0","760","P","LU","Tidak"
"97","KAUMAN - CARANGREJO","72.58","10.42","17","0","760","K","LU","Ya"
"98","KUNTI - PAGERUKIR","61.11","27.78","11.11","0","760","K","LU","Ya"
"99","WARU DOYONG - TEMPURAN","34.38","0","65.63","0","360","K","LU","Tidak"
"100","PANGKAL - TUMPUK","15.63","0","0","84.38","360","P","LU","Tidak"
"101","NGRUKEM - PULUNG","48.87","7.52","43.61","0","360","K","LU","Tidak"
"102","POLOREJO - NGUNUT","100","0","0","0","1640","P","LU","Ya"
"103","POLOREJO - NGRUPIT","58.33","41.67","0","0","1640","P","LU","Tidak"
"104","KANTEN - GRUPIT","0","100","0","0","1640","P","LU","Ya"
"105","MLANCAR - KALIBENING","0","0","0","100","440","K","JJS","Tidak"
"106","JENANGAN - SRATEN","40","40","20","0","1400","K","LU","Tidak"
"107","WATUGUDIG - SEDAH","77.14","22.68","0","0","1400","K","LU","Tidak"
"108","PANJENG - PINTU","48","0","52","0","1600","K","LU","Tidak"
"109","BETON - BRAHU","48.48","39.39","0","12.12","400","P","LU","Tidak"
"110","BRAHU - NGLUMPANG","52.5","9.17","20","18.33","0","K","LU","Tidak"
"111","CAMPURSARI - BULU","50","50","0","0","800","P","LU","Ya"
"112","BULU - KETRO","54.84","29.03","16.13","0","0","K","LU","Tidak"
"113","TAMANSARI - WILANGAN","0","100","0","0","720","P","LU","Ya"
"114","BESUKI - GROGOL","75.56","20","4.44","0","0","K","LU","Tidak"
"115","PRAYUNGAN - GROGOL","86.21","0","13.79","0","1440","P","LU","Ya"
"116","CEPOKO - SELUR","1.92","50","38.84","9.62","440","K","LU","Tidak"
"117","POHIJO - KUNTI","36.26","16.48","10.99","36.26","760","K","LU","Tidak"
"118","SEMPUREJO - GAJAH","43.09","35.52","16.26","8.13","0","K","LU","Ya"
"119","NAMBAK - KARIPAN","34.48","48.28","17.24","0","600","K","LU","Tidak"
"120","MAGUAN - GROGOL","32","40","28","0","0","K","LU","Ya"
"121","PUHGOSONG - KARANGLO","100","0","0","0","720","P","LU","Tidak"
"122","GANDU - BANTENGAN","100","0","0","0","0","K","LU","Ya"
"123","PUHGOSONG - KRADENAN","100","0","0","0","800","P","LU","Tidak"
"124","KARANGPATIHAN - NGILO-ILO","26.98","17.99","44.96","10.07","1240","K","LU","Ya"
"125","BAJANG - GONTOR","100","0","0","0","840","K","LU","Tidak"
"126","GUNUNGSARI - CANDI","49.06","32.08","18.87","0","720","K","LU","Tidak"
"127","JAJAR - WONODADI","40","20","20","20","320","K","LU","Tidak"
"128","SINGGAHAN - BEKIRING","38","20","30","12","800","K","LU","Tidak"
"129","WOTAN - BEKIRING","47.22","22.22","22.22","8.33","680","K","LU","Tidak"
"130","KAUMAN - SOMOROTO","66.67","33.33","0","0","1680","P","LU","Tidak"
"131","KAPURAN - BANDARALIM","41.6","0","40.8","17.6","1360","P","LU","Tidak"
"132","BAOSAN LOR - MBAYAN","16.67","33.33","43.33","6.67","680","K","LU","Tidak"
"133","SEMANDING - KAPURAN","80","20","0","0","0","K","LU","Ya"
"134","KESUGIHAN - SERAG","36.36","9.09","27.27","27.27","0","K","LU","Ya"
"135","JORESAN - TEGALSARI","60","12","28","0","0","K","LU","Ya"
"136","PURWOSARI - LEMBAH","0","80","20","0","1640","P","LU","Tidak"
"137","PONDOK - BAKALAN","50","0","50","0","840","P","LU","Tidak"
"138","DAYAKAN - TRINCING","10","40","36","14","480","K","LU","Tidak"
"139","DAYAKAN - WATU AGUNG","66.67","0","33.33","0","840","K","LU","Tidak"
"140","NGUNUT- DANYANG","30","34.44","35.36","0","840","K","LU","Tidak"
"141","PURWOSARI - TRISONO","100","0","0","0","1640","K","LU","Tidak"
"142","SEMANDING - TEMPURAN","80","10","10","0","880","K","LU","Ya"
"143","NGAMPEL - TURI","23.33","66.67","10","0","840","P","LU","Ya"
"144","JALEN - BRINGIN","55.56","22.22","22.22","0","840","K","LU","Ya"
"145","NGAMPEL - MUNENG","66.67","33.33","0","0","1360","P","LU","Tidak"
"146","PRAYUNGAN - PENGKOL","7.69","0","0","92.31","400","K","LU","Ya"
"147","KREBET - KARANG PATIHAN","65","5","12.5","17.5","400","K","LU","Tidak"
"148","JL. SEMANGKA","0","0","100","0","1950","K","LU","Tidak"
"149","JL. MANGGIS","0","0","100","0","1950","P","LU","Tidak"
"150","JL. JAWA","85.71","0","14.29","0","1950","K","LU","Tidak"
"151","JL. Dr. CIPTO MANGUNKUSUMO","100","0","0","0","2050","P","LU","Tidak"
"152","JL. LOMBOK","100","0","0","0","1950","K","LU","Tidak"
"153","JL. MASUK KABUPATEN","100","0","0","0","1950","K","LU","Tidak"
"154","JL. BANDA","0","66.67","33.33","0","2450","K","LU","Tidak"
"155","JL. SIBERUT","100","0","0","0","2250","K","LU","Tidak"
"156","JL. KBP. DURYAT","100","0","0","0","2250","K","LU","Tidak"
"157","JL.PARIKESIT","12.5","87.5","0","0","2050","K","LU","Tidak"
"158","JL. ALOON-ALOON TIMUR","100","0","0","0","3200","K","LU","Tidak"
"159","JL. WILIS","100","0","0","0","2000","K","LU","Tidak"
"160","JL. DEWI KUNTI","0","100","0","0","1950","K","LU","Tidak"
"161","JL. VETERAN","0","100","0","0","2050","K","LU","Tidak"
"162","JL. JANOKO","100","0","0","0","2050","K","LU","Tidak"
"163","JL. PAHLAWAN","100","0","0","0","2050","K","LU","Tidak"
"164","JL. GAJAHMADA","100","0","0","0","7150","K","LU","Tidak"
"165","JL. R. SALEH","100","0","0","0","2250","K","LU","Tidak"
